ClusterID,Channel,UnitType,UnitArea
0,2,mua,PFC
1,109,mua,PFC
2,7,mua,PFC
3,6,mua,PFC
6,10,mua,PFC
7,14,mua,PFC
8,111,mua,PFC
9,14,mua,PFC
10,16,mua,PFC
12,18,mua,PFC
13,18,mua,PFC
14,13,mua,PFC
15,101,mua,PFC
17,24,mua,PFC
18,24,mua,PFC
19,23,mua,PFC
20,113,mua,PFC
23,111,mua,PFC
24,30,mua,PFC
25,35,good,PFC
26,34,mua,PFC
27,36,mua,PFC
28,34,mua,PFC
30,43,mua,PFC
31,127,mua,PFC
34,48,mua,PFC
35,50,mua,PFC
39,121,mua,PFC
40,50,mua,PFC
41,50,mua,PFC
42,24,mua,PFC
43,175,good,PFC
44,57,mua,PFC
45,56,good,PFC
46,61,good,PFC
48,145,mua,PFC
49,64,good,PFC
50,47,good,PFC
51,127,good,PFC
52,70,mua,PFC
53,74,mua,PFC
54,80,mua,PFC
55,76,good,PFC
56,74,mua,PFC
57,83,mua,PFC
60,81,good,PFC
63,79,good,PFC
64,9,mua,PFC
65,80,mua,PFC
66,85,mua,PFC
67,84,good,PFC
68,155,mua,PFC
70,88,mua,PFC
72,89,mua,PFC
77,93,mua,PFC
78,92,good,PFC
83,94,mua,PFC
86,96,mua,PFC
93,100,good,PFC
96,99,mua,PFC
105,103,mua,PFC
106,105,good,PFC
108,105,good,PFC
111,109,good,PFC
113,107,good,PFC
116,109,mua,PFC
117,108,good,PFC
118,113,good,PFC
119,111,good,PFC
122,110,good,PFC
123,117,mua,PFC
124,116,good,PFC
125,118,good,PFC
126,117,good,PFC
129,119,good,PFC
130,121,mua,PFC
131,120,mua,PFC
133,124,mua,PFC
134,124,good,PFC
135,124,good,PFC
136,122,mua,PFC
138,128,good,PFC
139,127,good,PFC
140,129,mua,PFC
141,132,mua,PFC
142,107,mua,PFC
143,135,mua,PFC
144,135,mua,PFC
145,141,mua,PFC
146,138,mua,PFC
147,88,mua,PFC
148,138,mua,PFC
149,144,mua,PFC
150,146,mua,PFC
151,111,mua,PFC
152,153,mua,PFC
154,9,mua,PFC
156,158,mua,PFC
157,161,mua,PFC
158,162,mua,PFC
159,162,mua,PFC
160,165,mua,PFC
161,169,mua,PFC
162,166,mua,PFC
163,166,mua,PFC
164,169,mua,PFC
165,171,mua,PFC
166,174,mua,PFC
167,173,mua,PFC
168,157,mua,PFC
174,100,mua,PFC
175,9,mua,PFC
177,163,mua,PFC
178,178,mua,PFC
179,107,mua,PFC
180,153,mua,PFC
181,177,mua,PFC
182,127,mua,PFC
183,108,good,PFC
184,186,mua,PFC
186,187,good,PFC
188,189,mua,PFC
189,145,good,PFC
190,79,mua,PFC
191,107,good,PFC
192,107,good,PFC
193,109,good,PFC
194,109,good,PFC
195,107,mua,PFC
200,129,good,PFC
201,211,good,Undefined
203,136,good,PFC
208,222,good,Undefined
209,109,good,PFC
210,129,mua,PFC
211,96,good,PFC
214,109,good,PFC
223,249,good,Undefined
224,113,mua,PFC
226,253,good,Undefined
228,92,mua,PFC
234,157,mua,PFC
244,88,good,PFC
249,295,mua,Undefined
250,107,mua,PFC
251,299,mua,Undefined
254,110,mua,PFC
260,129,mua,PFC
261,126,mua,PFC
262,312,mua,Undefined
263,129,mua,PFC
268,100,mua,PFC
269,109,mua,PFC
271,106,mua,PFC
276,88,mua,PFC
280,82,mua,PFC
284,136,mua,PFC
285,92,mua,PFC
287,127,mua,PFC
289,167,mua,PFC
295,113,mua,PFC
296,127,mua,PFC
297,9,mua,PFC
298,22,mua,PFC
299,9,mua,PFC
300,40,mua,PFC
301,9,mua,PFC
302,129,mua,PFC
303,113,mua,PFC
304,109,good,PFC
305,113,mua,PFC
306,88,good,PFC
307,103,good,PFC
308,96,good,PFC
309,94,mua,PFC
310,104,good,PFC
311,104,mua,PFC
312,112,mua,PFC
313,131,mua,PFC
314,129,mua,PFC
315,113,mua,PFC
316,109,good,PFC
317,157,good,PFC
318,167,mua,PFC
319,109,good,PFC
320,30,mua,PFC
321,105,mua,PFC
322,129,mua,PFC
323,153,mua,PFC
324,88,mua,PFC
325,88,mua,PFC
326,92,mua,PFC
327,129,mua,PFC
328,336,mua,Undefined
