TimeStamp,Speed,EyeArea
0.0000,0.0000,177.5719
0.0167,0.0000,177.3611
0.0333,0.0000,177.1559
0.0500,0.0000,179.6157
0.0667,0.0000,182.0305
0.0833,0.0000,184.7454
0.1000,0.0000,183.6522
0.1167,0.0000,179.5478
0.1333,0.0000,176.4384
0.1500,0.0000,177.8959
0.1667,0.0000,177.3416
0.1833,0.0000,175.1206
0.2000,0.0000,179.4869
0.2167,0.0000,181.9216
0.2333,0.0000,178.0083
0.2500,0.0000,178.2554
0.2667,0.0000,180.5709
0.2833,0.0000,179.9251
0.3000,0.0000,179.7196
0.3167,0.0000,181.4348
0.3333,0.0000,181.4934
0.3500,0.0000,178.5120
0.3667,0.0000,179.5242
0.3833,0.0000,181.0677
0.4000,0.0000,182.3843
0.4167,0.0000,182.6521
0.4333,0.0000,179.9434
0.4500,0.0000,177.7871
0.4667,0.0000,175.2026
0.4833,0.0000,176.1820
0.5000,0.0000,180.5064
0.5167,-0.0111,181.9980
0.5333,-0.0644,179.4458
0.5500,-0.1549,177.3270
0.5667,-0.2765,176.8765
0.5833,-0.4226,178.0339
0.6000,-0.5486,180.5636
0.6167,-0.6108,180.9403
0.6333,-0.5797,179.4022
0.6500,-0.4718,179.2698
0.6667,-0.3293,179.7080
0.6833,-0.1886,178.2813
0.7000,-0.0944,181.5173
0.7167,-0.0383,182.3241
0.7333,-0.0095,182.5650
0.7500,0.0000,181.1796
0.7667,0.0000,184.2235
0.7833,0.0000,183.9933
0.8000,0.0000,182.0962
0.8167,0.0000,182.2881
0.8333,0.0000,181.9529
0.8500,0.0000,183.2518
0.8667,0.0000,185.6600
0.8833,0.0000,185.0872
0.9000,0.0000,184.1894
0.9167,0.0000,182.8850
0.9333,0.0000,185.3375
0.9500,0.0000,189.2834
0.9667,0.0000,191.2158
0.9833,0.0000,188.3718
1.0000,0.0000,186.1540
1.0167,0.0000,186.3170
1.0333,0.0000,187.5851
1.0500,0.0000,186.0542
1.0667,0.0000,187.2734
1.0833,0.0000,189.1883
1.1000,0.0000,187.8035
1.1167,0.0000,184.3461
1.1333,0.0000,185.3323
1.1500,0.0000,189.9436
1.1667,0.0000,190.8442
1.1833,0.0000,188.8607
1.2000,0.0000,191.0414
1.2167,0.0000,191.7267
1.2333,0.0000,188.4580
